id,barcode,desc,remarks,asset_type,cat_type,locname,dept,image,image_url,datetime_saved
47,,"WULI POWER SPRAYER 2HP","NO BARCODE
POWERHOUSE AREA","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627194515.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627194515.jpg,"2026-08-25 11:05:26 AM"
48,,"WULI POWER SPRAYER HP S#:2016-110189","NO BARCODE
POWERHOUSE AREA","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627247526.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627247526.jpg,"2026-08-25 11:06:42 AM"
49,,"WULI POWER SPRAYER 2HP","NO BARCODE
POWERHOUSE AREA","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627301457.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627301457.jpg,"2026-08-25 11:07:30 AM"
50,,"AUTOMATIC TRANSFER SWITCHES (ATS)","NO BARCODE
POWERHOUSE AREA","ELEC. INTS. & EQPT.","CIRCUIT BREAKER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627386043.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627386043.jpg,"2026-08-25 11:08:37 AM"
51,,"MANUAL TRANSFER SWITCH (MTS)","NO BARCODE
POWERHOUSE AREA","ELEC. INTS. & EQPT.","CIRCUIT BREAKER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627449209.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627449209.jpg,"2026-08-25 11:09:59 AM"
52,,"MAKITA BLOWER M:PM765OH","NO BARCODE
POWERHOUSE AREA","MACH. & EQPT.",BLOWER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627535965.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627535965.jpg,"2026-08-25 11:11:18 AM"
53,,"STANLEY HEAT GUN   TYPE B102 M:STEL670","DAMAGED
NO BARCODE
POWERHOUSE AREA",TOOLS,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627688782.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627688782.jpg,"2026-08-25 11:13:22 AM"
54,,"APC UPS S#:9B1713A04102; 9B1718A13946","2 UNITS 
DAMAGED
NO BARCODE
POWERHOUSE AREA","OFF. EQPT.",UPS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627834920.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627834920.jpg,"2026-08-25 11:15:04 AM"
55,,"SANWA CLAMP METER M:CAM600S","3 UNITS 
DAMAGED
NO BARCODE
POWERHOUSE AREA",TOOLS,"CLAMP METER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627939487.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627939487.jpg,"2026-08-25 11:17:41 AM"
56,,"SANWA MULTI TESTER YX360TRF","DAMAGED
NO BARCODE
POWERHOUSE AREA",TOOLS,MULTI-TESTER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628004087.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628004087.jpg,"2026-08-25 11:19:14 AM"
