barcode,desc,acost,adate,cat_type,locname,dept
0033-0010134300003  ,EPSON L3210 AIO PRINTER                                     ,7848.21000,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-INFORMATION TECHNOLOGY              
0033-0003304400009  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
0033-0006660200004  ,DOCUMENT SCANNER EPSON WORKFORCE DS-1630 COLOR              ,21424.1000,09/10/2024,SCANNER                                           ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
0033-0010134300004  ,EPSON L3210 AIO PRINTER                                     ,7848.21000,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
0001794150002       ,"F&V 120120 WAGON D12W12H6,W1200XD1200XH600MM                ",30238.0952,01/21/2017,OTHERS                                            ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0001794150003       ,"F&V 120120 WAGON D12W12H6,W1200XD1200XH600MM                ",30238.0952,01/21/2017,OTHERS                                            ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0001794150006       ,"F&V 120120 WAGON D12W12H6,W1200XD1200XH600MM                ",30238.0952,01/21/2017,OTHERS                                            ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0001794150008       ,"F&V 120120 WAGON D12W12H6,W1200XD1200XH600MM                ",30238.0952,01/21/2017,OTHERS                                            ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0001794150012       ,"F&V 120120 WAGON D12W12H6,W1200XD1200XH600MM                ",30238.0952,01/21/2017,OTHERS                                            ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0000916900001       ,STEEL DOUBLE DECK                                           ,1700      ,06/25/2007,BED                                               ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0000916900002       ,STEEL DOUBLE DECK                                           ,1700      ,06/25/2007,BED                                               ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0000916900003       ,STEEL DOUBLE DECK                                           ,1700      ,06/25/2007,BED                                               ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0004-0006392100002  ,AIR COOLER TOSOT TKSWD-0505D                                ,3996      ,07/24/2020,COOLER                                            ,COLONNADE COLON               ,COLC-INTERNAL AUDIT DEPT.                         
0004-0006392100003  ,AIR COOLER TOSOT TKSWD-0505D                                ,3996      ,07/24/2020,COOLER                                            ,COLONNADE COLON               ,COLC-STOCKROOM                                    
0004-0006392100007  ,AIR COOLER TOSOT TKSWD-0505D                                ,3996      ,07/24/2020,COOLER                                            ,COLONNADE COLON               ,COLC-FIXED ASSET DEPARTMENT                       
0033-0003304400010  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-ACCOUTING DEPARTMENT                
0033-0008897300001  ,EPSON L5290 WIFI AIO (INK TANK) PRINTER W/ADF               ,12049.1100,09/10/2024,PRINTER                                           ,COLONNADE COLON               ,COLC-ACCOUNTING DEPT.                             
0033-0003304400011  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-RECEIVING DEPARTMENT                
0033-0008024100001  ,HONEYWELL 1472G 2D CORDLESS SCANNER                         ,16955.3600,09/10/2024,SCANNER                                           ,COLONNADE MOHON               ,TALISAY MOHON-RECEIVING DEPARTMENT                
0033-0001378200011  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200012  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200013  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200014  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200015  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200016  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200017  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200018  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200019  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0001378200020  ,POS TERMINAL                                                ,83928.5700,09/24/2024,POS                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0004302600001  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-ENGINEERING DEPARTMENT              
0033-0004302600002  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-FIXED ASSET DEPARTMENT              
0033-0004302600003  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-STOCKROOM DEPARTMENT                
0033-0004302600004  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0033-0004302600005  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0004302600006  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0004302600007  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
0033-0004302600008  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
0033-0004302600009  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
0033-0004302600010  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-CASH SECTION                        
0033-0004302600011  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-ACCOUTING DEPARTMENT                
0033-0004302600012  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-MIS                                 
