barcode,desc,acost,adate,cat_type,locname,dept
0116-0000952300029  ,STEEL DOUBLE DECK                                           ,5500   ,04/01/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300030  ,STEEL DOUBLE DECK                                           ,5500   ,04/01/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300031  ,STEEL DOUBLE DECK                                           ,5500   ,01/03/2012,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300032  ,STEEL DOUBLE DECK                                           ,5500   ,01/03/2012,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300033  ,STEEL DOUBLE DECK                                           ,5500   ,01/03/2012,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300034  ,STEEL DOUBLE DECK                                           ,5500   ,01/03/2012,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001213300003  ,DOUBLE DECK                                                 ,5500   ,04/28/2012,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001213300004  ,DOUBLE DECK                                                 ,5500   ,03/01/2016,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001213300005  ,DOUBLE DECK                                                 ,5500   ,03/01/2016,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000281200001  ,SWIVEL CHAIR                                                ,3600   ,07/29/2017,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000281200002  ,SWIVEL CHAIR                                                ,3600   ,07/29/2017,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000281200003  ,SWIVEL CHAIR                                                ,3600   ,07/29/2017,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000281200004  ,SWIVEL CHAIR                                                ,3600   ,07/29/2017,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000281200005  ,SWIVEL CHAIR                                                ,3600   ,07/29/2017,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000281200006  ,SWIVEL CHAIR                                                ,3600   ,07/29/2017,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000281200007  ,SWIVEL CHAIR                                                ,3600   ,07/29/2017,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
