barcode,desc,acost,adate,cat_type,locname,dept
0079-0007067000047  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000048  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000049  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000050  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000051  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000052  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000053  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000054  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000055  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000056  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000057  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000058  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000059  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000060  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000061  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000062  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000063  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000064  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000065  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000066  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000067  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000068  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000069  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000070  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000071  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000072  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000073  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000074  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000075  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000076  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000077  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000078  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000079  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000080  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0070-0011869000001  ,AI REF 100L                                                 ,23214,06/03/2025,REFRIGERATOR                                      ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
