barcode,desc,acost,adate,cat_type,locname,dept
0117-0008834100001  ,MAKITA ANGLE GRINDER                                        ,3133.,04/02/2025,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100016  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,5714.,04/02/2025,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100017  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,5714.,04/02/2025,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100018  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,5714.,04/02/2025,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100019  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,5714.,04/02/2025,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100020  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,5714.,04/02/2025,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007573500001  ,CPU SET I3                                                  ,15133,04/22/2025,CPU                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010826300001  ,MS WINDOWS 11 HOME 64BIT ENG INTL 1 PK DSP OEM              ,6785.,04/22/2025,SOFTWARE                                          ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010857700001  ,ACER LED20 K202QBI 19.5"" LED MONITOR (VGAHDMI)              ,3258.,04/22/2025,MONITOR                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010857700002  ,ACER LED20 K202QBI 19.5"" LED MONITOR (VGAHDMI)              ,2678.,04/30/2025,MONITOR                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
