barcode,desc,acost,adate,cat_type,locname,dept,status
0001129300002CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25509.60,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129300003CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25509.60,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129300004CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25509.60,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129300005CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25509.60,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129300006CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25509.60,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129300007CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25509.60,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129400001CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25022.00,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129500001CORP        ,SS PRODUCTION TABLE W/ BACK SPLASH (3.0M                    ,     26962.40,07/22/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129500002CORP        ,SS PRODUCTION TABLE W/ BACK SPLASH (3.0M                    ,     26962.40,07/22/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129600001CORP        ,SS PRODUCTION TABLE W/ BACK SPLASH (3.0M                    ,     27929.60,07/18/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129600002CORP        ,SS PRODUCTION TABLE W/ BACK SPLASH (3.0M                    ,     27929.60,07/18/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129700001CORP        ,SS PRODUCTION TABLE W/ BACK SPLASH (2.0M                    ,     23594.97,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129700002CORP        ,SS PRODUCTION TABLE W/ BACK SPLASH (2.0M                    ,     23594.97,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129700003CORP        ,SS PRODUCTION TABLE W/ BACK SPLASH (2.0M                    ,     23594.97,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129800001CORP        ,COSTING TABLE                                               ,      6200.00,12/29/2008,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129900001CORP        ,WEIGHING SCALE TABLE                                        ,      9500.00,05/03/2011,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129900002CORP        ,WEIGHING SCALE TABLE                                        ,      9500.00,05/03/2011,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130000001CORP        ,SS PRODUCTION TABLE                                         ,         0.00,  /  /    ,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130000002CORP        ,SS PRODUCTION TABLE                                         ,         0.00,  /  /    ,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130100001CORP        ,BUTCHER'S TABLE                                             ,         0.00,  /  /    ,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130100002CORP        ,BUTCHER'S TABLE                                             ,         0.00,  /  /    ,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200001CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200002CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200003CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200004CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200005CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200006CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200007CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200008CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130200009CORP        ,SS STORAGE RACK SLOTTED                                     ,     25479.90,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300001CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300002CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300003CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300004CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300005CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300006CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300007CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300008CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300009CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300010CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300011CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300012CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300013CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130300014CORP        ,SS STORAGE RACK 4 LAYERS                                    ,     26160.00,07/20/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400001CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400002CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400003CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400004CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400005CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400006CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400007CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400008CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400009CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400010CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130400011CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     34132.50,07/18/2007,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001130500001CORP        ,SS STORAGE RACK 7 LAYERS                                    ,     14020.80,02/26/2008,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
