barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0076-0007024100003  ,CURRENT TRANSFORMER 250:5 SPLIT TYPE                        ,      2152.80,02/27/2023,STR. EQPT.          ,OTHERS                                            ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0078-0008433400001  ,SECURE 650VA UPS (AUTOMATIC)                                ,      1550.00,03/06/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0078-0008433400002  ,SECURE 650VA UPS (AUTOMATIC)                                ,      1550.00,03/06/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0076-0007757000001  ,KV2C METER FORM 9S W/ SOCKET                                ,     29440.00,03/29/2023,ELEC. INTS. & EQPT. ,METER                                             ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0001377600001  ,HAND DRYER AUTOMATIC                                        ,      2232.14,05/03/2023,STR. EQPT.          ,HAND DRYER                                        ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0078-0002506900001  ,10 LBS CAPACITY PORTABLE FIRE EXTINGUISHER HCFC 12          ,      8260.72,06/02/2023,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0078-0008597400001  ,HAND DRYER BOSTON BAY HDBK719-1051 WHITE                    ,      4464.29,06/02/2023,STR. EQPT.          ,HAND DRYER                                        ,         5,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0076-0002506900002  ,10 LBS CAPACITY PORTABLE FIRE EXTINGUISHER HCFC 12          ,      8260.71,06/07/2023,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ROSE EN HONEY FOODLINE INC.   ,ASCM-GREENWICH                                    ,FAACQ               
0076-0008932100001  ,SECURE 1500VA UPS                                           ,      3080.36,06/29/2023,STR. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0008932100002  ,SECURE 1500VA UPS                                           ,      3080.36,06/29/2023,STR. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0008947800001  ,COMPRESSOR TECUMSEH 1/3 H.P 220V MODEL AE4440Z              ,     11500.00,08/11/2023,OTHER EQPT.         ,COMPRESSOR                                        ,         3,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0078-0008946700001  ,IDEAL UPS 1000VA 5110C BLACK                                ,      3180.80,08/23/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0008946700002  ,IDEAL UPS 1000VA 5110C BLACK                                ,      3180.80,08/23/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0008946700003  ,IDEAL UPS 1000VA 5110C BLACK                                ,      3180.80,08/23/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0008946800001  ,IDEAL UPS 650VA                                             ,      1654.02,08/23/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0008946800002  ,IDEAL UPS 650VA                                             ,      1654.02,08/23/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0008946800003  ,IDEAL UPS 650VA                                             ,      1654.02,08/23/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0008946800004  ,IDEAL UPS 650VA                                             ,      1654.02,08/23/2023,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0008048300001  ,EPSON PRINTER L3210 AI0                                     ,      8388.39,08/23/2023,OFF. EQPT.          ,PRINTER                                           ,         3,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0110-0009086600001  ,BESTANK WATER STORAGE TANK SGST-600                         ,     15499.00,09/22/2023,OTHER EQPT.         ,TANK                                              ,         4,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
