barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0012-0012758400001  ,STAINLESS 7'S PACKING TABLE 1.04 X .51 X .40M               ,     10864.98,11/21/2025,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-PRODUCTION                                     ,FAACQ               
0012-0012758800001  ,STAINLESS MIXING TABLE 1.2 X .60 X .62M                     ,     12620.77,11/21/2025,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-PRODUCTION                                     ,FAACQ               
0012-0012424900001  ,40-DOORS CUSTOM MADE STEEL LOCKER CABINET- GRAY             ,     38839.29,12/09/2025,FUR. & FIXT.        ,LOCKER                                            ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FA_TRAN             
0012-0012424900002  ,40-DOORS CUSTOM MADE STEEL LOCKER CABINET- GRAY             ,     38839.29,12/09/2025,FUR. & FIXT.        ,LOCKER                                            ,        10,MFI-GP FARM                   ,GPF-ADMIN                                         ,FA_TRAN             
0012-0012424900003  ,40-DOORS CUSTOM MADE STEEL LOCKER CABINET- GRAY             ,     38839.29,12/09/2025,FUR. & FIXT.        ,LOCKER                                            ,        10,MFI-GP FARM                   ,GPF-ADMIN                                         ,FA_TRAN             
0012-0012424900004  ,40-DOORS CUSTOM MADE STEEL LOCKER CABINET- GRAY             ,     38839.29,12/09/2025,FUR. & FIXT.        ,LOCKER                                            ,        10,MFI-GP FARM                   ,GPF-ADMIN                                         ,FA_TRAN             
0012-0009805300001  ,ACER LED20 K202QBI 19.5"" LED MONITOR (VGAHDMI)              ,      3258.93,01/30/2026,OFF. EQPT.          ,MONITOR                                           ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0000392800001  ,PRODUCTION TABLE (SS)- 0.60M X 1.50M                        ,     30649.87,03/19/2026,FUR. & FIXT.        ,TABLE                                             ,         7,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0000392800002  ,PRODUCTION TABLE (SS)- 0.60M X 1.50M                        ,     30649.87,03/19/2026,FUR. & FIXT.        ,TABLE                                             ,         7,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012685200001  ,PRODUCTION TABLE (SS)- 0.60M X 3.00M                        ,     52709.89,03/19/2026,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012685300001  ,PRODUCTION TABLE (SS)-0.60M X 4.50M                         ,     64363.95,03/19/2026,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012685300002  ,PRODUCTION TABLE (SS)-0.60M X 4.50M                         ,     64363.95,03/19/2026,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012685300003  ,PRODUCTION TABLE (SS)-0.60M X 4.50M                         ,     64363.95,03/19/2026,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290300003  ,24 PORTS POE SWITCH WITH SFP PORT (DS-3E0528HP-E)           ,     16875.00,03/13/2026,OFF. EQPT.          ,SWITCH                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012431400001  ,ELECTRIC CONVECTION OVEN (SM-705E)                          ,    178571.43,03/16/2026,STR. EQPT.          ,OVEN                                              ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0010410900002  ,CARRIER A/C FP53CAC012308 1.5 SPLIT TYPE                    ,     25625.00,03/25/2026,MACH. & EQPT.       ,AIRCON                                            ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012758400002  ,STAINLESS 7'S PACKING TABLE 1.04 X .51 X .40M               ,     19901.07,03/09/2026,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-PRODUCTION                                     ,FAACQ               
0044-0010619200240  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0012-0013163400001  ,GOULD PUMP                                                  ,     19703.12,04/24/2026,MACH. & EQPT.       ,PUMP                                              ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0013300200001  ,STAINLESS PRODUCTION TABLE 1.35 X .9 X .75M                 ,     23021.09,05/06/2026,FUR. & FIXT.        ,TABLE                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0013260500001  ,ACER ASPIRE GO 14 AI AG14-71M-55Q4                          ,     36999.00,04/27/2026,OFF. EQPT.          ,LAPTOP                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0003547700001  ,SPEAKER KONZERT                                             ,     14418.75,05/11/2026,STR. EQPT.          ,SPEAKER                                           ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0003046000001  ,TESTO 175-T1 DATA LOGGER PN: 05721751 (NEW)                 ,     15589.29,05/20/2026,STR. EQPT.          ,THERMOMETER                                       ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
