barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0033-0000921500024  ,STAFF CHAIR W/O ARM                                         ,      4361.90,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0000921500025  ,STAFF CHAIR W/O ARM                                         ,      4361.90,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0000921500026  ,STAFF CHAIR W/O ARM                                         ,      4361.90,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0000921500027  ,STAFF CHAIR W/O ARM                                         ,      4361.90,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0000921500028  ,STAFF CHAIR W/O ARM                                         ,      4361.90,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0000921500029  ,STAFF CHAIR W/O ARM                                         ,      4361.90,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0000921500030  ,STAFF CHAIR W/O ARM                                         ,      4361.90,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008303700001  ,VISITORS CHAIR 4 LEGGED                                     ,      2423.28,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008303700002  ,VISITORS CHAIR 4 LEGGED                                     ,      2423.28,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008303700003  ,VISITORS CHAIR 4 LEGGED                                     ,      2423.28,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008303700004  ,VISITORS CHAIR 4 LEGGED                                     ,      2423.28,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008303900001  ,EXECUTIVE CHAIR HIGH BACK                                   ,      9867.59,02/02/2023,FUR. & FIXT.        ,CHAIR                                             ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008421800001  ,VERTICAL BLINDS 58X51                                       ,      2385.00,02/07/2023,FUR. & FIXT.        ,BLINDS                                            ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008421800002  ,VERTICAL BLINDS 58X51                                       ,      2385.00,02/07/2023,FUR. & FIXT.        ,BLINDS                                            ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0119-0008436700001  ,APPLE IPAD 9TH GEN WI-FI                                    ,     19065.00,02/13/2023,OFF. EQPT.          ,OFFICE EQUIPMENT                                  ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0119-0001132300001  ,DIGITAL BP MONITOR OMRON                                    ,      2224.00,02/18/2023,STR. EQPT.          ,OTHERS                                            ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0119-0008206200001  ,22MY FUSO FJ 2528R CS#:H0E203 PL#:GAK-4537                  ,   3700000.00,02/01/2023,TRNS. EQPT.         ,VEHICLE                                           ,        10,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0007702100001  ,ZEBRA LABEL PRINTER ZT230 203 DPI  USB AND                  ,     51388.00,02/22/2023,STR. EQPT.          ,PRINTER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0007702100002  ,ZEBRA LABEL PRINTER ZT230 203 DPI  USB AND                  ,     51388.00,02/22/2023,STR. EQPT.          ,PRINTER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008343100001  ,FABRICATION & INSTALLATION OF ACRYLIC 3D BUILD UP           ,    400000.00,03/02/2023,BLDG. IMPVT.        ,SIGNAGE                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0007940200001  ,CPU SET                                                     ,     17700.00,03/08/2023,OFF. EQPT.          ,CPU                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008171100001  ,ACER K202HQL 19.5"" LED MONITOR                              ,      4400.00,03/08/2023,OFF. EQPT.          ,MONITOR                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0110-0005659800001  ,SPRING VIBRATION ISOLATOR                                   ,      1500.00,01/17/2023,OTHERS              ,OTHERS                                            ,         3,SOUTH FARM                    ,SOUTH FARM                                        ,FA_TRAN             
0110-0005659800002  ,SPRING VIBRATION ISOLATOR                                   ,      1500.00,01/17/2023,OTHERS              ,OTHERS                                            ,         3,SOUTH FARM                    ,SOUTH FARM                                        ,FA_TRAN             
0110-0005659800003  ,SPRING VIBRATION ISOLATOR                                   ,      1500.00,01/17/2023,OTHERS              ,OTHERS                                            ,         3,SOUTH FARM                    ,SOUTH FARM                                        ,FA_TRAN             
0110-0005659800004  ,SPRING VIBRATION ISOLATOR                                   ,      1500.00,01/17/2023,OTHERS              ,OTHERS                                            ,         3,SOUTH FARM                    ,SOUTH FARM                                        ,FA_TRAN             
