barcode,desc,acost,adate,cat_type,locname,dept,status
0112-0008477200054  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200055  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200056  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200057  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200058  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200059  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200060  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200061  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200062  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200063  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200064  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200065  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200066  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200067  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200068  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200069  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200070  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
